tempo, ref, theta, w, u
5.104000, 90.000000, 71.398994, 0.122070, 1.654881
5.114000, 90.000000, 71.407104, 1.464844, 1.557327
5.124000, 90.000000, 71.420692, 1.220703, 1.579424
5.134000, 90.000000, 71.430969, 0.976562, 1.601805
5.143000, 90.000000, 71.439728, 0.915527, 1.610455
5.153000, 90.000000, 71.448540, 0.732422, 1.628338
5.166000, 90.000000, 71.455551, 0.671387, 1.637136
5.174000, 90.000000, 71.460999, 0.549316, 1.650687
5.184000, 90.000000, 71.463661, 0.122070, 1.687581
5.193000, 90.000000, 71.465431, 0.122070, 1.692209
5.204000, 90.000000, 71.466827, 0.183105, 1.692250
5.213000, 90.000000, 71.465157, -0.183105, 1.724898
5.224000, 90.000000, 71.463158, -0.061035, 1.720613
5.234000, 90.000000, 71.463516, 0.061035, 1.716124
5.244000, 90.000000, 71.462677, -0.183105, 1.739460
5.254000, 90.000000, 71.462135, 0.061035, 1.725808
5.264000, 90.000000, 71.464973, 0.366211, 1.707243
5.274000, 90.000000, 71.465393, 0.000000, 1.739710
5.284000, 90.000000, 71.464577, -0.061035, 1.749184
5.293000, 90.000000, 71.473282, 1.464844, 1.637700
5.303000, 90.000000, 71.492081, 2.258301, 1.580781
5.314000, 90.000000, 71.513939, 2.075195, 1.597516
5.324000, 90.000000, 71.533081, 1.770020, 1.623723
5.333000, 90.000000, 71.549477, 1.647949, 1.636302
5.343000, 90.000000, 71.562515, 1.159668, 1.676892
