tempo, ref, theta
5.680000, 0.000000, -6.255688
5.690000, 0.000000, -6.298432
5.700000, 0.000000, -6.335334
5.710000, 0.000000, -6.367385
5.720000, 0.000000, -6.396388
5.730000, 0.000000, -6.419309
5.740000, 0.000000, -6.437350
5.750000, 0.000000, -6.449827
5.760000, 0.000000, -6.454070
5.770000, 0.000000, -6.454970
5.780000, 0.000000, -6.455875
5.790000, 0.000000, -6.457394
5.800000, 0.000000, -6.458925
5.810000, 0.000000, -6.460438
5.820000, 0.000000, -6.462870
5.830000, 0.000000, -6.464375
5.840000, 0.000000, -6.464949
5.850000, 0.000000, -6.465539
5.860000, 0.000000, -6.466128
5.870000, 0.000000, -6.465185
5.880000, 0.000000, -6.465490
5.890000, 0.000000, -6.466962
5.900000, 0.000000, -6.468798
5.910000, 0.000000, -6.469096
5.920000, 0.000000, -6.471191
5.930000, 0.000000, -6.473317
5.940000, 0.000000, -6.473302
5.950000, 0.000000, -6.475452
5.960000, 0.000000, -6.476639
5.970000, 0.000000, -6.477223
5.980000, 0.000000, -6.475693
5.990000, 0.000000, -6.476573
6.000000, 0.000000, -6.478685
6.010000, 0.000000, -6.480783
6.020000, 0.000000, -6.481346
6.030000, 0.000000, -6.482851
6.040000, 0.000000, -6.485590
6.050000, 0.000000, -6.486784
6.060000, 0.000000, -6.488912
6.070000, 0.000000, -6.490702
6.080000, 0.000000, -6.491607
6.090000, 0.000000, -6.493093
6.100000, 0.000000, -6.494617
6.110000, 0.000000, -6.497382
6.120000, 0.000000, -6.496450
6.130000, 0.000000, -6.496102
6.140000, 0.000000, -6.497934
6.150000, 0.000000, -6.501277
6.160000, 0.000000, -6.503068
6.170000, 0.000000, -6.503363
6.180000, 0.000000, -6.505191
6.190000, 0.000000, -6.505782
6.200000, 0.000000, -6.507899
6.210000, 0.000000, -6.508502
6.220000, 0.000000, -6.510916
6.230000, 0.000000, -6.510257
6.240000, 0.000000, -6.509921
6.250000, 0.000000, -6.512633
6.260000, 0.000000, -6.513849
6.269000, 0.000000, -6.512019
6.280000, 0.000000, -6.508975
6.290000, 0.000000, -6.507132
6.300000, 0.000000, -6.509867
6.309000, 0.000000, -6.513535
6.320000, 0.000000, -6.517190
6.329000, 0.000000, -6.520857
6.340000, 0.000000, -6.525440
6.349000, 0.000000, -6.527252
6.359000, 0.000000, -6.530930
6.370000, 0.000000, -6.533656
6.379000, 0.000000, -6.536703
6.389000, 0.000000, -6.540024
6.399000, 0.000000, -6.541833
6.409000, 0.000000, -6.541512
6.420000, 0.000000, -6.543036
6.429000, 0.000000, -6.546381
6.439000, 0.000000, -6.546632
6.449000, 0.000000, -6.549343
6.460000, 0.000000, -6.552047
6.469000, 0.000000, -6.553243
6.479000, 0.000000, -6.554790
6.489000, 0.000000, -6.557529
6.499000, 0.000000, -6.559062
6.510000, 0.000000, -6.560584
6.520000, 0.000000, -6.561206
6.530000, 0.000000, -6.563035
6.539000, 0.000000, -6.566378
6.549000, 0.000000, -6.566076
6.560000, 0.000000, -6.567574
6.569000, 0.000000, -6.569678
6.579000, 0.000000, -6.570906
6.589000, 0.000000, -6.573035
6.599000, 0.000000, -6.574539
6.609000, 0.000000, -6.576027
6.620000, 0.000000, -6.576297
6.629000, 0.000000, -6.578396
6.639000, 0.000000, -6.580526
6.649000, 0.000000, -6.582979
6.659000, 0.000000, -6.584798
6.669000, 0.000000, -6.584779
6.679000, 0.000000, -6.588125
6.689000, 0.000000, -6.590529
6.699000, 0.000000, -6.589584
6.709000, 0.000000, -6.589609
6.719000, 0.000000, -6.590503
6.729000, 0.000000, -6.591671
6.739000, 0.000000, -6.592897
6.749000, 0.000000, -6.591660
6.759000, 0.000000, -6.593778
6.769000, 0.000000, -6.594971
6.779000, 0.000000, -6.594972
6.789000, 0.000000, -6.594323
6.799000, 0.000000, -6.597367
6.809000, 0.000000, -6.598269
6.819000, 0.000000, -6.598272
6.829000, 0.000000, -6.599167
6.839000, 0.000000, -6.599769
6.849000, 0.000000, -6.601881
6.859000, 0.000000, -6.603992
6.869000, 0.000000, -6.606088
6.879000, 0.000000, -6.604851
6.889000, 0.000000, -6.606334
6.899000, 0.000000, -6.609056
6.909000, 0.000000, -6.609967
6.919000, 0.000000, -6.612369
6.929000, 0.000000, -6.613879
6.939000, 0.000000, -6.612023
6.949000, 0.000000, -6.612913
6.959000, 0.000000, -6.613507
6.969000, 0.000000, -6.616238
6.979000, 0.000000, -6.615622
6.989000, 0.000000, -6.617992
6.999000, 0.000000, -6.620103
7.009000, 0.000000, -6.620658
7.019000, 0.000000, -6.623126
7.029000, 0.000000, -6.624336
7.039000, 0.000000, -6.627651
7.049000, 0.000000, -6.629442
7.059000, 0.000000, -6.631279
7.069000, 0.000000, -6.634318
7.079000, 0.000000, -6.635865
7.089000, 0.000000, -6.636733
7.099000, 0.000000, -6.638219
7.109000, 0.000000, -6.640362
7.119000, 0.000000, -6.641897
7.129000, 0.000000, -6.644005
7.139000, 0.000000, -6.645207
7.149000, 0.000000, -6.647021
7.159000, 0.000000, -6.648526
7.169000, 0.000000, -6.650058
7.179000, 0.000000, -6.650951
7.189000, 0.000000, -6.651236
7.199000, 0.000000, -6.653062
7.209000, 0.000000, -6.655794
7.219000, 0.000000, -6.656407
7.229000, 0.000000, -6.659422
7.239000, 0.000000, -6.661532
7.249000, 0.000000, -6.663069
7.259000, 0.000000, -6.665206
7.269000, 0.000000, -6.665807
7.279000, 0.000000, -6.667955
7.289000, 0.000000, -6.670405
7.299000, 0.000000, -6.671919
7.309000, 0.000000, -6.675258
7.319000, 0.000000, -6.676162
7.329000, 0.000000, -6.677659
7.339000, 0.000000, -6.679490
7.349000, 0.000000, -6.681304
7.359000, 0.000000, -6.683455
7.369000, 0.000000, -6.685548
7.379000, 0.000000, -6.686717
7.389000, 0.000000, -6.690687
7.399000, 0.000000, -6.692519
7.409000, 0.000000, -6.693100
7.419000, 0.000000, -6.694309
7.429000, 0.000000, -6.697039
7.439000, 0.000000, -6.698866
7.449000, 0.000000, -6.699489
7.459000, 0.000000, -6.700995
7.469000, 0.000000, -6.703110
7.479000, 0.000000, -6.705870
7.489000, 0.000000, -6.707993
7.499000, 0.000000, -6.709798
7.509000, 0.000000, -6.710709
7.519000, 0.000000, -6.713728
7.529000, 0.000000, -6.717689
7.539000, 0.000000, -6.717943
7.549000, 0.000000, -6.720362
7.559000, 0.000000, -6.719713
7.569000, 0.000000, -6.721552
7.579000, 0.000000, -6.724901
7.589000, 0.000000, -6.725514
7.599000, 0.000000, -6.727325
7.609000, 0.000000, -6.728183
7.619000, 0.000000, -6.730623
7.628000, 0.000000, -6.733060
7.639000, 0.000000, -6.735509
7.649000, 0.000000, -6.735795
7.659000, 0.000000, -6.737875
7.669000, 0.000000, -6.741779
7.679000, 0.000000, -6.743619
7.688000, 0.000000, -6.743608
7.699000, 0.000000, -6.745718
7.709000, 0.000000, -6.747218
7.719000, 0.000000, -6.749337
7.728000, 0.000000, -6.752050
7.739000, 0.000000, -6.752972
7.748000, 0.000000, -6.754794
7.759000, 0.000000, -6.754785
7.768000, 0.000000, -6.756278
7.779000, 0.000000, -6.757464
7.788000, 0.000000, -6.758931
7.798000, 0.000000, -6.761685
7.808000, 0.000000, -6.763156
7.819000, 0.000000, -6.764645
7.829000, 0.000000, -6.766160
