tempo, w
0, -1.147031
0, -1.127206
0, -1.107539
0, -1.088013
0, -1.068607
0, -1.049373
0, -1.030306
0, -1.011435
0, -0.992716
0, -0.974134
0, -0.955684
0, -0.937350
0, -0.919190
0, -0.901245
0, -0.883452
0, -0.865830
0, -0.848347
0, -0.830959
0, -0.813748
0, -0.796721
0, -0.779875
0, -0.763164
0, -0.746584
0, -0.730157
0, -0.713837
0, -0.697662
0, -0.681698
0, -0.665875
0, -0.650230
0, -0.634689
0, -0.619292
0, -0.604020
0, -0.588881
0, -0.573940
0, -0.559119
0, -0.544461
0, -0.529956
0, -0.515564
0, -0.501321
0, -0.487218
0, -0.473313
0, -0.459531
0, -0.445914
0, -0.432425
0, -0.419055
0, -0.405810
0, -0.392690
0, -0.379751
0, -0.366954
0, -0.354288
0, -0.341747
0, -0.329316
0, -0.317058
0, -0.304884
0, -0.292887
0, -0.281017
0, -0.269295
0, -0.257704
0, -0.246204
0, -0.234840
0, -0.223595
0, -0.212511
0, -0.201544
0, -0.190739
0, -0.180071
0, -0.169499
0, -0.159045
0, -0.148715
0, -0.138524
0, -0.128417
0, -0.118489
0, -0.108660
0, -0.098968
0, -0.089336
0, -0.079848
0, -0.070482
0, -0.061254
0, -0.052155
0, -0.043187
0, -0.034346
0, -0.025584
0, -0.016969
0, -0.008472
0, -0.000116
0, 0.008120
0, 0.016187
0, 0.024172
0, 0.032027
0, 0.039795
0, 0.047453
0, 0.054986
0, 0.062324
0, 0.069564
0, 0.076677
0, 0.083663
0, 0.090532
0, 0.097318
0, 0.103970
0, 0.110502
0, 0.116863
0, 0.123110
0, 0.129227
0, 0.135215
0, 0.141135
0, 0.146929
0, 0.152637
0, 0.158201
0, 0.163607
0, 0.168883
0, 0.174067
0, 0.179145
0, 0.184135
0, 0.189027
0, 0.193820
0, 0.198468
0, 0.202975
0, 0.207334
0, 0.211588
0, 0.215756
0, 0.219862
0, 0.223865
0, 0.227769
0, 0.231519
0, 0.235152
0, 0.238643
0, 0.242022
0, 0.245303
0, 0.248529
0, 0.251691
0, 0.254768
0, 0.257702
0, 0.260509
0, 0.263204
0, 0.265770
0, 0.268257
0, 0.270672
0, 0.273054
0, 0.275327
0, 0.277490
0, 0.279503
0, 0.281464
0, 0.283263
0, 0.285010
0, 0.286691
0, 0.288339
0, 0.289902
0, 0.291353
0, 0.292691
0, 0.293897
0, 0.295003
0, 0.296020
0, 0.296993
0, 0.297902
0, 0.298766
0, 0.299526
0, 0.300181
0, 0.300686
0, 0.301091
0, 0.301405
0, 0.301678
0, 0.301900
0, 0.302053
0, 0.302158
0, 0.302136
0, 0.302027
0, 0.301794
0, 0.301479
0, 0.301096
0, 0.300653
0, 0.300150
0, 0.299610
0, 0.299012
0, 0.298294
0, 0.297492
0, 0.296568
0, 0.295600
0, 0.294554
0, 0.293464
0, 0.292315
0, 0.291126
0, 0.289884
0, 0.288505
0, 0.287106
0, 0.285586
0, 0.283988
0, 0.282328
0, 0.280623
0, 0.278888
0, 0.277086
0, 0.275256
0, 0.273313
0, 0.271331
0, 0.269258
0, 0.267123
0, 0.264919
0, 0.262640
0, 0.260331
0, 0.257960
0, 0.255581
0, 0.253134
0, 0.250609
0, 0.248021
0, 0.245330
0, 0.242592
0, 0.239772
0, 0.236928
0, 0.234055
0, 0.231109
0, 0.228141
0, 0.225108
0, 0.222021
0, 0.218841
0, 0.215590
0, 0.212295
0, 0.208936
0, 0.205573
0, 0.202125
0, 0.198652
0, 0.195136
0, 0.191546
0, 0.187910
0, 0.184184
0, 0.180404
0, 0.176561
