Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
46400, 7.438022, 0.000000
46500, 7.438022, 0.000000
46600, 7.423516, 0.000000
46700, 7.423516, 0.000000
46800, 7.428352, 0.000000
46900, 7.428352, 0.000000
47000, 7.428352, 0.000000
47100, 7.423516, 0.000000
47200, 7.423516, 0.000000
47300, 7.428352, 0.000000
47400, 7.423516, 0.000000
47500, 7.423516, 0.000000
47600, 7.423516, 0.000000
47700, 7.433187, 0.000000
47800, 7.428352, 0.000000
47900, 7.423516, 0.000000
48000, 7.433187, 0.000000
48100, 7.438022, 0.000000
48200, 7.438022, 0.000000
48300, 7.438022, 0.000000
48400, 7.438022, 0.000000
48500, 7.438022, 0.000000
48600, 7.423516, 0.000000
48700, 7.423516, 0.000000
48800, 7.428352, 0.000000
48900, 7.428352, 0.000000
49000, 7.428352, 0.000000
49100, 7.423516, 0.000000
49200, 7.428352, 0.000000
49300, 7.423516, 0.000000
49400, 7.423516, 0.000000
49500, 7.423516, 0.000000
49600, 7.423516, 0.000000
49700, 7.423516, 0.000000
49800, 7.428352, 0.000000
49900, 7.423516, 0.000000
50000, 7.438022, 0.000000
50100, 7.433187, 0.000000
50200, 7.438022, 0.000000
50300, 7.438022, 0.000000
50400, 7.438022, 0.000000
50500, 7.438022, 0.000000
50600, 7.428352, 0.000000
50700, 7.423516, 0.000000
50800, 7.423516, 0.000000
50900, 7.423516, 0.000000
51000, 7.423516, 0.000000
51100, 7.423516, 0.000000
51200, 7.423516, 0.000000
51300, 7.428352, 0.000000
51400, 7.428352, 0.000000
51500, 7.423516, 0.000000
51600, 7.428352, 0.000000
51700, 7.423516, 0.000000
51800, 7.423516, 0.000000
51900, 7.423516, 0.000000
52000, 7.442857, 0.000000
52100, 7.438022, 0.000000
52200, 7.438022, 0.000000
52300, 7.433187, 0.000000
52400, 7.438022, 0.000000
52500, 7.423516, 0.000000
52600, 7.423516, 0.000000
52700, 7.423516, 0.000000
52800, 7.423516, 0.000000
52900, 7.423516, 0.000000
53000, 7.423516, 0.000000
53100, 7.423516, 0.000000
53200, 7.423516, 0.000000
53300, 7.423516, 0.000000
53400, 7.423516, 0.000000
53500, 7.423516, 0.000000
53600, 7.428352, 0.000000
53700, 7.423516, 0.000000
53800, 7.423516, 0.000000
53900, 7.428352, 0.000000
54000, 7.438022, 0.000000
54100, 7.438022, 0.000000
54200, 7.438022, 0.000000
54300, 7.433187, 0.000000
54400, 7.433187, 0.000000
54500, 7.423516, 0.000000
54600, 7.428352, 0.000000
54700, 7.423516, 0.000000
54800, 7.423516, 0.000000
54900, 7.423516, 0.000000
55000, 7.423516, 0.000000
55100, 7.423516, 0.000000
55200, 7.428352, 0.000000
55300, 7.423516, 0.000000
55400, 7.423516, 0.000000
55500, 7.428352, 0.000000
55600, 7.423516, 0.000000
55700, 7.428352, 0.000000
55800, 7.423516, 0.000000
55900, 7.423516, 0.000000
56000, 7.438022, 0.000000
56100, 7.438022, 0.000000
56200, 7.438022, 0.000000
56300, 7.438022, 0.000000
56400, 7.438022, 0.000000
56500, 7.423516, 0.000000
56600, 7.423516, 0.000000
56700, 7.423516, 0.000000
56800, 7.428352, 0.000000
56900, 7.428352, 0.000000
57000, 7.423516, 0.000000
57100, 7.423516, 0.000000
57200, 7.428352, 0.000000
57300, 7.423516, 0.000000
57400, 7.423516, 0.000000
57500, 7.423516, 0.000000
57600, 7.423516, 0.000000
57700, 7.423516, 0.000000
57800, 7.423516, 0.000000
57900, 7.428352, 0.000000
58000, 7.438022, 0.000000
58100, 7.438022, 0.000000
58200, 7.438022, 0.000000
58300, 7.438022, 0.000000
58400, 7.438022, 0.000000
58500, 7.423516, 0.000000
58600, 7.423516, 0.000000
58700, 7.423516, 0.000000
58800, 7.423516, 0.000000
58900, 7.423516, 0.000000
59000, 7.423516, 0.000000
59100, 7.423516, 0.000000
59200, 7.423516, 0.000000
59300, 7.423516, 0.000000
59400, 7.428352, 0.000000
59500, 7.423516, 0.000000
59600, 7.442857, 0.000000
59700, 7.423516, 0.000000
59800, 7.423516, 0.000000
59900, 7.423516, 0.000000
60000, 7.433187, 0.000000
60100, 7.438022, 0.000000
60200, 7.438022, 0.000000
60300, 7.438022, 0.000000
60400, 7.438022, 0.000000
60500, 7.423516, 0.000000
60600, 7.423516, 0.000000
60700, 7.428352, 0.000000
60800, 7.423516, 0.000000
60900, 7.423516, 0.000000
61000, 7.418681, 0.000000
61100, 7.418681, 0.000000
61200, 7.423516, 0.000000
61300, 7.423516, 0.000000
61400, 7.423516, 0.000000
61500, 7.413846, 0.000000
61600, 7.428352, 0.000000
61700, 7.423516, 0.000000
61800, 7.428352, 0.000000
61900, 7.428352, 0.000000
62000, 7.433187, 0.000000
62100, 7.438022, 0.000000
62200, 7.438022, 0.000000
62300, 7.438022, 0.000000
62400, 7.438022, 0.000000
62500, 7.423516, 0.000000
62600, 7.423516, 0.000000
62700, 7.423516, 0.000000
62800, 7.423516, 0.000000
62900, 7.428352, 0.000000
63000, 7.423516, 0.000000
63100, 7.423516, 0.000000
63200, 7.423516, 0.000000
63300, 7.423516, 0.000000
63400, 7.423516, 0.000000
63500, 7.423516, 0.000000
63600, 7.428352, 0.000000
63700, 7.423516, 0.000000
63800, 7.423516, 0.000000
63900, 7.433187, 0.000000
64000, 7.438022, 0.000000
64100, 7.438022, 0.000000
64200, 7.438022, 0.000000
64300, 7.438022, 0.000000
64400, 7.433187, 0.000000
64500, 7.423516, 0.000000
64600, 7.423516, 0.000000
64700, 7.428352, 0.000000
64800, 7.423516, 0.000000
64900, 7.423516, 0.000000
65000, 7.423516, 0.000000
65100, 7.428352, 0.000000
65200, 7.428352, 0.000000
65300, 7.423516, 0.000000
65400, 7.423516, 0.000000
65500, 7.423516, 0.000000
65600, 7.423516, 0.000000
65700, 7.423516, 0.000000
65800, 7.423516, 0.000000
65900, 7.423516, 0.000000
66000, 7.438022, 0.000000
66100, 7.438022, 0.000000
66200, 7.438022, 0.000000
66300, 7.438022, 0.000000
66400, 7.438022, 0.000000
66500, 7.428352, 0.000000
66600, 7.423516, 0.000000
66700, 7.428352, 0.000000
66800, 7.423516, 0.000000
66900, 7.423516, 0.000000
67000, 7.423516, 0.000000
67100, 7.423516, 0.000000
67200, 7.423516, 0.000000
67300, 7.423516, 0.000000
67400, 7.423516, 0.000000
67500, 7.423516, 0.000000
67600, 7.428352, 0.000000
67700, 7.423516, 0.000000
67800, 7.423516, 0.000000
67900, 7.423516, 0.000000
68000, 7.438022, 0.000000
68100, 7.438022, 0.000000
68200, 7.438022, 0.000000
68300, 7.438022, 0.000000
